kpName	filename	unit
AccePedal	AcceleratorPedal.txt	%
Ax	AccelerationChassis_SMO_20.txt	m/s2
Ay	AccelerationLateral.txt	m/s2
AcceSeat	AccelerationSeat.txt	m/s2
AcceVerticalWheel	AccelerationVerticalWheel.txt	m/s2
BrakeMeanEffPressure	BMEP_SMO_20.txt	bar
BrakePressureRaw	Brake_Pressure.txt	bar
BrakePosition	BrakePosition.txt	%
CurrentGear	Gear.txt	-
Distance	Distance.txt	km
ElectricLoad	ElectricLoad.txt	A
EngineTemperature	EngineTemperature.txt	Grad
EngineSpeed	EngineSpeed.txt	1/min
EngineTorque	Engine_Torque.txt	Nm
GearDMU	GearDMU.txt	-
GearRatio	GearRatio.txt	rpm/kph
ICETorqueExpectedNormalized	ICETorqueExpectedNormalized.txt	Nm
KickDown	Kickdown.txt	0/1
PerformanceDistance	PerformanceDistance.txt	m
PerformanceTime	PerformanceTime.txt	s
Power	Power.txt	kW
RPMsmooth	RPMsmooth.txt	rpm
ShiftProcess	GE_Schaltablauf.txt	-
SteeringWheelAngle	SteeringWheelAngle.txt	Deg
SynchronSpeedG01	SynchronSpeedG01.txt	rpm
SynchronSpeedG02	SynchronSpeedG02.txt	rpm
SynchronSpeedG03	SynchronSpeedG03.txt	rpm
SynchronSpeedG04	SynchronSpeedG04.txt	rpm
SynchronSpeedG05	SynchronSpeedG05.txt	rpm
SynchronSpeedG06	SynchronSpeedG06.txt	rpm
SynchronSpeedG07	SynchronSpeedG07.txt	rpm
Torque	Torque_SMO_20.txt	Nm
TorqueExpected	TorqueExpected.txt	Nm
TransmTemp	Transm_Temp.txt	Grad
VehicleSpeed	VehicleSpeed.txt	km/h
