id	fieldname	score	t_begin	t_end	details	dir
2066.43	id2066_gearS43	7.8	6359	6669	Geely-id66-gearS43	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\66_sync.mat
2066.32	id2066_gearS32	7.8	6905	7150	Geely-id66-gearS32	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\66_sync.mat
2067.43	id2067_gearS43	8.4	1769	1933	Geely-id67-gearS43	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\67_sync.mat
2067.32	id2067_gearS32	8.2	1933	2145	Geely-id67-gearS32	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\67_sync.mat
2069.43	id2069_gearS43	6.5	6346	6464	Geely-id69-gearS43	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\69-76_sync.mat
2069.32	id2069_gearS32	6.5	6484	6878	Geely-id69-gearS32	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\69-76_sync.mat
2070.54	id2070_gearS54	8.6	14020	14120	Geely-id70-gearS54	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\70-77_sync.mat
2070.43	id2070_gearS43	7.1	14130	14290	Geely-id70-gearS43	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\70-77_sync.mat
2070.32	id2070_gearS32	6.0	14300	14450	Geely-id70-gearS32	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\70-77_sync.mat
2072.65	id2072_gearS65	8.4	15630	15790	Geely-id72-gearS65	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\72-79_sync.mat
2072.54	id2072_gearS54	8.6	15800	15970	Geely-id72-gearS54	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\72-79_sync.mat
2072.43	id2072_gearS43	6.8	15980	16200	Geely-id72-gearS43	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\72-79_sync.mat
2072.32	id2072_gearS32	8.9	16210	16420	Geely-id72-gearS32	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\72-79_sync.mat
2073.65	id2073_gearS65	8.8	10690	10830	Geely-id73-gearS65	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\73-80_sync.mat
2073.54	id2073_gearS54	8.6	10840	10960	Geely-id73-gearS54	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\73-80_sync.mat
2073.43	id2073_gearS43	6.5	10970	11120	Geely-id73-gearS43	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\73-80_sync.mat
2073.32	id2073_gearS32	7.7	11130	11250	Geely-id73-gearS32	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\73-80_sync.mat
2075.65	id2075_gearS65	8.6	15280	15370	Geely-id75-gearS65	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\68-75_sync.mat
2075.54	id2075_gearS54	8.6	15380	15510	Geely-id75-gearS54	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\68-75_sync.mat
2075.43	id2075_gearS43	7.9	15520	15660	Geely-id75-gearS43	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\68-75_sync.mat
2075.32	id2075_gearS32	6.6	15670	15800	Geely-id75-gearS32	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\68-75_sync.mat
2076.65	id2076_gearS65	6.8	11220	11360	Geely-id76-gearS65	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\69-76_sync.mat
2076.54	id2076_gearS54	8.3	11380	11550	Geely-id76-gearS54	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\69-76_sync.mat
2076.43	id2076_gearS43	6.4	11560	11700	Geely-id76-gearS43	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\69-76_sync.mat
2078.76	id2078_gearS76	8.8	10960	11050	Geely-id78-gearS76	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\71-78_sync.mat
2078.65	id2078_gearS65	8.6	11050	11110	Geely-id78-gearS65	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\71-78_sync.mat
2078.54	id2078_gearS54	9.1	11110	11300	Geely-id78-gearS54	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\71-78_sync.mat
2078.43	id2078_gearS43	6.3	11300	11330	Geely-id78-gearS43	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\71-78_sync.mat
2078.32	id2078_gearS32	7.6	11330	11530	Geely-id78-gearS32	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\71-78_sync.mat
2079.54	id2079_gearS54	7.6	20930	21210	Geely-id79-gearS54	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\72-79_sync.mat
2081.43	id2081_gearS43	7.8	9662	9820	Geely-id81-gearS43	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\81-92_sync.mat
2081.32	id2081_gearS32	8.4	9882	10140	Geely-id81-gearS32	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\81-92_sync.mat
2082.54	id2082_gearS54	7.3	7407	7581	Geely-id82-gearS54	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\82-93_sync.mat
2082.43	id2082_gearS43	6.8	7631	7800	Geely-id82-gearS43	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\82-93_sync.mat
2082.32	id2082_gearS32	8.4	7869	8041	Geely-id82-gearS32	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\82-93_sync.mat
2092.33	id2092_gearS33	6.5	13839	13939	Geely-id92-gearS33	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\81-92_sync.mat
2093.32	id2093_gearS32	8.1	13400	13600	Geely-id93-gearS32	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\82-93_sync.mat
2094.43	id2094_gearS43	8.8	13960	14100	Geely-id94-gearS43	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\94-101_sync.mat
2094.32	id2094_gearS32	7.3	14120	14350	Geely-id94-gearS32	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\94-101_sync.mat
2096.43	id2096_gearS43	8.2	24640	24890	Geely-id96-gearS43	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\96-103_sync.mat
2096.32	id2096_gearS32	8.7	25310	25520	Geely-id96-gearS32	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\96-103_sync.mat
2097.43	id2097_gearS43	8.5	12500	12660	Geely-id97-gearS43	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\97-104_sync.mat
2097.32	id2097_gearS32	8.1	12710	13000	Geely-id97-gearS32	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\97-104_sync.mat
2099.43	id2099_gearS43	7.7	17350	17570	Geely-id99-gearS43	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\99-106_sync.mat
20100.43	id20100_gearS43	8.6	11700	11790	Geely-id100-gearS43	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\100-107_sync.mat
20107.43	id20107_gearS43	8.7	5276	5500	Geely-id107-gearS43	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\100-107_sync.mat
20107.32	id20107_gearS32	8.9	5686	5878	Geely-id107-gearS32	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\100-107_sync.mat
20108.43	id20108_gearS43	8.4	4757	4950	Geely-id108-gearS43	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\107-108_sync.mat
20108.32	id20108_gearS32	8.8	5175	5350	Geely-id108-gearS32	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\107-108_sync.mat
20102.32	id20102_gearS32	8.1	9084	9288	Geely-id102-gearS32	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\95-102_sync.mat
20103.32	id20103_gearS32	8.7	16380	16550	Geely-id103-gearS32	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\96-103_sync.mat
20104.43	id20104_gearS43	8.0	6119	6350	Geely-id104-gearS43	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\97-104_sync.mat
20105.43	id20105_gearS43	7.8	6914	7150	Geely-id105-gearS43	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\98-105_sync.mat
20105.32	id20105_gearS32	8.3	7498	7692	Geely-id105-gearS32	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\98-105_sync.mat
20106.43	id20106_gearS43	8.5	9158	9350	Geely-id106-gearS43	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\99-106_sync.mat
20106.32	id20106_gearS32	8.8	9408	9600	Geely-id106-gearS32	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_10.08.18_dry\Syncdaten\99-106_sync.mat
20109.54	id20109_gearS54	9.5	5576	5608	Geely-id109-gearS54	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_29.08.18_dry\Syncdaten\109_sync.mat
20109.43	id20109_gearS43	5.7	5622	5750	Geely-id109-gearS43	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_29.08.18_dry\Syncdaten\109_sync.mat
20161.32	id20161_gearS32	7.1	1962	2100	Geely-id161-gearS32	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_31.05.18_dry\Syncdaten\161-162_sync.mat
20162.32	id20162_gearS32	8.0	6894	7000	Geely-id162-gearS32	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_31.05.18_dry\Syncdaten\161-162_sync.mat
20163.43	id20163_gearS43	8.0	4844	5000	Geely-id163-gearS43	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_31.05.18_dry\Syncdaten\163-164-165_sync.mat
20164.43	id20164_gearS43	8.4	21130	21250	Geely-id164-gearS43	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_31.05.18_dry\Syncdaten\163-164-165_sync.mat
20165.43	id20165_gearS43	8.4	23100	23200	Geely-id165-gearS43	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_31.05.18_dry\Syncdaten\163-164-165_sync.mat
20166.42	id20166_gearS42	6.8	2484	2700	Geely-id166-gearS42	D:\MA\Daten\Messdaten\Messdaten_Geely\Messdaten_31.05.18_dry\Syncdaten\166-167-(168)_sync.mat
